id,Injury_Accident,Property_Damage_Accident,Property_Damage_And_Injury_Accident,Fatal_Accident
Queens,10678,6800,3204,92
Bronx,6599,3002,1459,49
Kings,12764,5243,2642,83
Wheatland,4,98,31,2
Scott,1,16,5,
Herkimer,18,106,37,
Stafford,2,120,21,
Bethany,3,56,12,
La Grange,29,311,123,3
Tuxedo,18,181,57,4
De Ruyter,,21,6,
New York,7554,4348,1212,46
Wales,2,59,15,1
Warwick,12,393,115,2
Westport,,38,5,
Seneca,6,46,22,1
Moravia,3,42,11,1
--Select Value--,383,2739,433,
Malta,16,276,73,
Rosendale,5,119,29,
Buffalo,1380,2425,1048,9
Carrollton,,31,4,
Onondaga,44,293,96,
Mamakating,18,164,62,1
Lysander,14,183,49,
Southampton,140,938,340,2
Chazy,2,52,15,
Upper Brookville,3,26,15,
Babylon,602,2154,1075,18
Poughkeepsie,227,754,365,6
West Seneca,80,569,202,2
Rochester,773,3243,941,9
Springville,3,41,11,
Massapequa Park,27,155,49,
Hempstead,1648,8742,3553,37
Oyster Bay,488,3974,1601,18
Riverside,3,23,7,
Taghkanic,2,55,3,1
Syracuse,667,1901,572,7
North Hempstead,354,2112,739,5
Huntington,466,2657,1249,18
Esopus,7,163,40,1
Russell,2,26,6,1
Kirkland,7,123,32,2
German,,4,1,
Sand Lake,5,89,33,
Wayland,2,75,30,
Endicott,46,145,41,
Gorham,2,62,25,1
Brookhaven,1055,4731,2341,50
Malone,23,208,48,
Old Brookville,16,35,32,
Oswego,37,371,82,1
Farmingdale,25,169,62,
Lake Grove,45,117,57,
Colonie,212,1243,525,1
New Bremen,6,33,4,
Amherst,238,1453,758,4
Victor,20,392,84,
Lloyd,31,216,65,3
Orangetown,73,462,159,2
Utica,211,658,190,
Garden City,92,509,239,2
Alexander,,73,14,
Mayfield,8,79,30,2
Pamelia,8,92,26,1
Richmond,1951,1896,859,11
Wawarsing,12,168,62,1
Putnam Valley,7,257,76,
Lynbrook,105,294,130,
Clarence,42,318,128,2
Carmel,33,401,153,1
Sleepy Hollow,13,68,22,2
Napoli,,16,5,
Schenectady,193,893,250,
Watertown,77,563,121,2
Stockholm,,92,18,
Greenville,13,204,51,1
Hastings,13,83,18,4
Kingsbury,12,68,34,1
Ossining,12,116,24,1
Upper Nyack,4,15,9,
Valley Stream,128,441,176,2
Haverstraw,66,213,88,3
Amsterdam,36,387,84,3
Chenango,13,211,54,2
Irondequoit,79,467,108,1
Guilderland,62,429,158,1
Albany,345,2220,546,5
West Haverstraw,17,72,19,1
Ithaca,79,791,142,
Warsaw,5,150,34,
Camden,8,100,13,1
Manchester,14,142,35,1
Southeast,20,430,166,1
Coxsackie,4,118,15,
Milton,8,152,51,2
Enfield,4,52,15,
Frankfort,8,87,22,1
Binghamton,167,528,142,2
Austerlitz,,35,6,1
Cedarhurst,40,173,51,1
Gardiner,3,134,23,1
Bolton,2,52,8,
Union,18,295,56,1
Newark,4,164,22,
Claverack,10,108,34,
Chatham,10,133,19,1
Clifton Park,44,550,157,4
Mount Pleasant,53,309,144,2
Queensbury,70,481,133,3
Horseheads,37,262,76,3
Bedford,31,329,124,5
Ira,3,26,6,1
Friendship,1,23,7,
Verona,13,191,42,2
Kinderhook,8,98,22,
Pembroke,3,155,44,1
Colton,1,54,14,
New Windsor,41,574,155,3
Chester,13,333,92,
Stanford,3,78,16,
Williamsville,14,124,38,
Depew,17,231,68,2
Kingston,92,360,112,2
Lancaster,35,371,107,1
Liverpool,6,66,17,
Vestal,27,411,101,
Clarkstown,205,1320,425,4
Clayton,4,73,8,1
White Plains,196,809,217,
Pleasantville,14,87,28,
Paris,1,58,21,
Ilion,11,78,22,
Palatine,2,30,11,
Wilson,1,41,14,1
Lawrence,24,99,29,
New Rochelle,178,405,145,3
Jamestown,47,392,113,2
Pittstown,5,71,30,
Moreau,9,152,39,
Hamburg,79,777,252,7
Cortlandville,18,244,68,
East Aurora,4,81,21,
Potter,,33,8,1
Sidney,8,91,18,1
Wilton,21,257,88,
Sodus,9,96,28,2
Plattekill,9,152,57,1
Cortlandt,67,423,130,1
Geddes,21,250,59,
Highland Falls,5,28,10,
Rotterdam,42,395,89,
New Hartford,37,333,98,
Mohawk,8,72,26,1
Newburgh,214,1095,431,5
Hector,2,108,24,
Red Hook,8,164,48,1
Cornwall On Hudson,1,22,11,
Delaware,2,36,11,1
Schaghticoke,2,87,45,
Irvington,12,44,15,
Elmira,64,288,86,
Dewitt,67,590,195,3
Fishkill,74,341,141,3
Hanover,6,99,29,
Tonawanda,129,620,253,4
Greece,148,913,287,2
Kirkwood,4,205,51,1
Middleburg,4,36,12,
Salina,48,457,148,1
New Baltimore,3,102,15,3
Pittsford,39,355,116,3
East Fishkill,39,456,130,
Troy,182,407,107,1
Brighton,107,901,303,1
Tuxedo Park,,3,,
Smithtown,214,1211,539,7
Henrietta,95,592,214,2
Geneseo,14,223,41,
Long Beach,68,341,114,1
Laurel Hollow,2,6,3,
Wallkill,91,787,240,5
Batavia,44,509,107,1
Port Chester,87,371,99,
Stockton,4,27,9,
Litchfield,3,20,4,
Riverhead,67,718,318,5
Niagara Falls,124,702,233,2
Java,1,56,9,
Orchard Park,34,507,130,2
Plattsburg,50,676,129,1
Lackawanna,48,106,42,1
Southold,11,402,102,3
Monroe,24,336,77,1
Mount Vernon,89,263,94,2
Glenville,20,287,98,1
Johnson City,27,200,62,
Gates,68,612,186,2
Rockville Centre,92,159,145,4
West Sparta,2,37,15,
Arcadia,14,87,34,
Cuba,3,68,20,1
Crawford,13,102,40,
Pleasant Valley,11,205,48,1
Rushford,,23,7,1
Harrietstown,,76,7,
Oneonta,28,256,40,1
Liberty,21,193,62,1
Oneida,17,177,39,1
Corning,24,236,58,3
Freeport,192,230,308,3
Evans,6,217,62,2
Cobleskill,7,150,26,2
Maine,1,108,34,2
Islip,900,3475,1770,28
Saratoga Springs,43,811,157,4
Whitestown,6,125,24,2
Farmington,17,174,40,
Potsdam,16,273,51,2
Allegany,14,237,50,2
Manlius,30,365,114,1
Summerhill,3,18,5,1
Geneva,13,126,46,2
New Paltz,35,332,97,2
North Hills,44,371,163,1
Amityville,47,176,78,1
Riga,8,89,20,
North Salem,5,152,39,2
Marshall,2,43,15,
Brownville,5,48,14,
Ephratah,2,23,9,
Ischua,,22,3,
Central Square,6,31,3,1
Cicero,50,474,141,4
Windsor,7,103,39,
Keene,1,55,4,
Pelham Manor,21,86,39,
Southport,6,110,19,1
Norwich,18,183,30,
Chestnut Ridge,5,101,41,1
Goshen,31,415,117,1
Triangle,2,32,8,
Lockport,61,521,158,2
Yonkers,624,781,499,6
Cold Spring,5,38,6,
Elbridge,7,108,29,2
Nyack,26,143,22,
Wright,1,9,5,
Schodack,8,209,53,
Busti,8,82,22,
East Hampton,45,383,93,4
Ramapo,91,594,233,2
Owasco,1,37,11,
Old Westbury,36,420,220,
Campbell,8,78,20,2
Pomfret,6,107,31,3
Vienna,6,80,15,1
Auburn,70,253,110,1
Brutus,2,89,10,1
Highland,,25,10,1
Hyde Park,28,308,104,2
Throop,4,32,13,
Chili,43,274,81,3
New Berlin,,44,14,
Erin,2,25,5,
Kent,19,163,48,1
Clarkson,8,63,16,1
New Hempstead,11,62,27,
Bethlehem,38,468,107,1
Lindenhurst,43,221,103,2
Richfield,1,28,7,
Wappinger Falls,12,89,24,
Candor,,55,19,
Skaneateles,9,149,35,2
Solvay,7,38,5,
Oyster Bay Cove,4,27,13,
Cornwall,24,212,83,
Rush,6,72,25,1
Pittsfield,6,27,11,
Grand Island,18,130,49,
Avon,2,159,29,
Manheim,3,19,4,
Middletown,69,388,97,
Clinton,5,148,29,
Lake George,9,126,39,1
Trenton,5,80,11,2
Wheatfield,12,204,88,1
Plainfield,1,13,2,
Deposit,1,44,7,2
Collins,2,35,7,
Clay,73,556,204,5
Clermont,4,27,5,
Olean,25,247,61,1
Johnstown,27,226,92,
Lewiston,17,136,60,7
Newfield,2,99,17,3
Williston Park,10,60,20,
Flower Hill,15,114,45,
Owego,22,249,57,
Brunswick,13,226,52,1
Ulster,47,461,151,2
Italy,3,29,7,
Schroeppel,25,75,29,1
Greenburgh,167,676,280,5
Cheektowaga,132,894,494,4
Cazenovia,5,115,18,
Fulton,20,242,56,
Bath,15,175,43,
Harrison,54,313,117,2
Niskayuna,27,281,106,3
Homer,16,113,30,
Charleston,1,23,7,
Eden,5,81,18,1
Lansing,12,270,46,2
Briarcliff Manor,20,102,34,1
Halfmoon,27,309,110,2
Glen Cove,47,172,83,
Pavilion,3,73,21,
Patchogue,38,112,34,
Westbury,40,375,152,2
Baxter Estates,,10,4,
Spring Valley,115,210,67,
Ulysses,5,108,22,1
Ticonderoga,4,102,21,
Farmersville,,28,7,2
Massena,23,147,46,1
Catskill,16,184,70,1
Camillus,33,342,98,
Big Flats,9,149,37,1
Arcade,5,80,26,
Chautauqua,9,60,13,1
Newstead,4,96,26,1
North Castle,24,208,70,
Romulus,2,44,7,
Perinton,37,349,127,
Benton,3,44,11,
Ogden,13,156,44,
Dansville,8,83,23,
Tuscarora,7,38,9,2
Rhinebeck,12,271,66,2
Ohio,2,17,1,
Webster,36,411,121,
Rose,1,17,4,
Ledyard,,26,1,
Le Roy,4,36,6,
Yorkshire,3,38,17,1
Mt. Morris,5,87,10,
Hinsdale,5,62,14,
Easton,1,65,13,
Almond,1,37,7,
Chemung,5,61,22,1
Glens Falls,31,260,80,
Veteran,4,47,15,1
Tully,3,76,17,
Canandaigua,28,367,77,2
Niagara,28,170,57,1
Leroy,4,141,24,2
Alfred,,51,14,
Phelps,9,167,51,1
Hudson,17,75,22,
Mina,1,30,7,
Wayne,2,19,5,
Thompson,20,215,103,3
Waddington,1,43,12,
Portville,,38,6,
Richland,8,80,19,
Floral Park,24,118,47,
Red House,,12,4,
Harriman,,44,12,1
Augusta,1,23,3,
Pendleton,6,91,36,1
Prattsville,,12,5,
Hopewell,6,91,27,3
Lenox,8,96,21,
Rockland,4,106,11,
Sterling,,26,15,
Albion,11,120,40,
Stockbridge,4,37,5,
Gainesville,1,58,8,
Williamson,13,62,23,
Gouverneur,4,91,17,1
Bristol,3,61,12,
Highlands,23,140,51,
Aurelius,6,64,16,
Shawangunk,5,131,42,1
Yorktown,74,456,210,2
Stony Creek,,5,2,
Cortland,21,359,57,1
Green Island,2,40,3,
Plymouth,,27,6,
Ballston Spa,6,76,19,
Scotia,9,68,21,
North Greenbush,11,250,64,2
Nassau,2,53,20,1
Hurley,7,77,28,2
East Greenbush,22,237,68,
Newfane,9,95,31,1
Ontario,20,98,42,1
Elma,8,175,74,1
Ballston,8,129,32,
Sheldon,2,71,21,
Mount Kisco,14,50,29,
Mechanicville,6,40,19,
Oswegatchie,14,89,10,1
Brasher,1,38,14,1
East Syracuse,6,92,31,
Marcellus,3,71,23,
Eastchester,45,218,82,2
Parma,21,118,41,2
Ellenville,7,49,9,
Peekskill,50,200,59,1
Lloyd Harbor,1,24,9,1
Hastings On Hudson,17,39,22,
Wellsville,16,72,15,
Baldwinsville,7,88,16,
North Harmony,,55,19,1
Falconer,3,37,4,1
Rensselaer,13,87,26,1
Brockport,8,99,9,
Larchmont,12,107,23,
Andes,1,19,6,1
Spafford,2,22,11,
Tyre,5,74,13,
Richmondville,2,41,14,
Penfield,47,382,142,3
Dobbs Ferry,26,146,42,
Dickinson,9,147,30,
Montebello,5,67,22,
Lowville,10,103,6,
Port Henry,,7,2,
Otisco,4,22,8,1
Macedon,14,100,33,2
Mineola,40,280,94,1
Florida,11,127,18,1
Wolcott,6,36,14,
Coventry,1,27,4,
Westhampton Beach,6,41,11,
Covert,,33,11,
Amenia,5,55,15,
Mamaroneck,79,326,85,1
Denmark,1,30,7,
Fleming,4,46,14,
Eaton,4,84,19,2
New Castle,27,210,64,2
Murray,2,55,15,1
Sweden,16,109,47,
Wilmington,1,26,9,
Stony Point,34,174,74,2
Byron,1,58,12,1
Jasper,,28,6,
Lumberland,2,22,14,1
Woodstock,8,63,15,
Saugerties,30,247,86,2
Tarrytown,44,171,56,1
Stephentown,,28,14,1
Vernon,9,101,27,
Esperance,2,27,10,
Sullivan,15,145,46,1
West Winfield,1,7,1,
Northampton,2,28,9,
Suffern,11,111,29,
Lattingtown,3,23,19,
Waverly,3,62,11,
Alden,5,85,22,1
North Tonawanda,39,162,78,
Winfield,5,13,9,
Washington,4,60,28,2
Lake Success,45,269,119,
Cambria,8,66,33,3
Kenmore,27,109,39,
Conesus,,62,10,
Stamford,1,35,4,
Fonda,1,18,2,
Ellisburg,10,69,18,1
Aurora,7,99,27,
Mansfield,1,21,6,
Elmsford,42,220,66,
Somerset,4,19,6,
Willsboro,2,36,4,
Thomaston,3,25,5,
Johnsburg,4,90,14,
Patterson,5,155,56,2
Elizabethtown,2,45,12,
Marcy,7,158,29,
Marlborough,6,111,52,1
Oneida Castle,2,5,3,
Watervliet,28,101,25,
Pine Plains,4,48,12,1
Niles,1,19,4,
Rye,26,129,55,1
Champion,8,34,13,2
Fenton,5,89,19,1
New Hyde Park,31,122,34,
Masonville,3,26,5,
Boonville,3,97,15,1
Franklin,5,98,22,
Leicester,5,63,20,
Mendon,8,155,27,
Wawayanda,17,222,71,
Sandy Creek,6,58,13,
East Otto,2,13,7,
Corinth,3,56,31,
East Rockaway,20,76,25,1
Westford,,6,3,
Hume,4,26,1,
Pelham,18,108,49,
Islandia,31,160,110,
Cairo,11,121,36,2
Waterloo,15,112,25,
Seneca Falls,16,111,26,
Savannah,5,29,2,
Granby,17,48,18,4
Ellicott,17,144,44,
Van Buren,30,189,41,1
Watson,3,23,9,1
Schuyler Falls,1,66,18,
Scarsdale,35,173,35,1
Sherburne,5,70,12,1
Northport,8,77,18,
Genesee,1,18,6,1
Floyd,3,66,17,1
Minisink,,59,8,1
Fenner,,37,16,
Broadalbin,4,50,29,1
South Nyack,7,83,29,
Richford,2,25,8,
Sparta,,51,15,
Hornby,2,22,7,
Wappinger,33,283,103,2
Union Vale,5,44,26,1
Lewisboro,12,138,39,1
Le Ray,21,99,34,1
East Hills,16,178,65,1
Danby,5,66,21,
Boston,5,85,30,1
Northhaven,3,10,1,
Conklin,5,69,12,
Sag Harbor,9,58,10,
Somers,35,232,92,2
Lima,2,61,14,
Walden,10,47,19,
Hamlin,5,40,19,
South Glens Falls,1,72,11,
Fultonville,1,26,3,
Waterford,10,70,25,
Junius,1,49,12,
Afton,3,44,10,2
Brookville,15,47,37,
Blooming Grove,7,205,56,
West Monroe,7,38,12,
North Norwich,2,45,12,
Royalton,10,92,37,1
Dryden,10,276,74,1
Hancock,3,139,34,1
Darien,3,122,21,2
Westerlo,4,63,13,
Norfolk,4,86,18,
Hoosick,4,83,35,1
Rodman,1,34,3,
Ashland,1,28,9,
Roslyn,7,99,34,
Morris,1,38,5,
Whitehall,4,53,13,
Port Washington North,4,23,6,
Leon,,7,3,
Duanesburg,6,142,30,
Livingston,5,51,14,3
Western,1,57,5,1
Dover,7,85,35,1
Fort Ann,6,75,23,2
Granville,15,64,22,
Willing,2,17,2,
Cuyler,1,14,2,
Concord,3,85,21,
Rome,65,385,113,
Stuyvesant,4,23,7,
Westmoreland,8,140,37,1
Bangor,,35,10,
Bennington,2,61,7,
Port Jervis,21,137,40,
Scottsville,,13,3,
Canton,7,182,28,3
Minoa,,9,4,
Muttontown,2,33,20,
Long Lake,1,42,7,1
Wesley Hills,5,43,9,
Van Etten,3,29,4,
Gloversville,29,103,30,1
Adams,14,86,18,
Barton,3,48,12,1
Lyons Falls,,7,1,
St. Armand,,27,3,
Hillburn,3,26,15,
Virgil,2,81,10,
Carthage,2,34,3,
,10,70,30,
Fallsburgh,11,130,60,1
Hamilton,6,87,10,
Bethel,8,57,22,2
Sanford,1,71,11,
Montgomery,13,281,89,5
Saranac Lake,8,63,12,
Watkins Glen,5,51,8,
Springwater,2,43,8,
Crown Point,1,43,16,
Little Falls,12,78,22,2
Guilford,3,42,13,1
Scipio,4,39,13,
Lindley,1,36,7,
Rye Brooke,12,82,28,
Jackson,2,34,7,1
Angelica,3,30,4,
Peru,3,88,18,
