id,Tuesday,Saturday,Wednesday,Friday,Sunday,Thursday,Monday
Queens,3035,2888,3031,3262,2557,3008,2993
Bronx,1627,1584,1502,1893,1340,1564,1599
Kings,3065,2835,2989,3278,2587,3026,2952
Wheatland,24,19,19,20,13,21,19
Scott,4,7,1,3,1,2,4
Herkimer,25,12,22,34,23,22,23
Stafford,21,14,19,21,25,23,20
Bethany,11,5,13,14,10,10,8
La Grange,79,64,73,70,41,73,66
Tuxedo,42,37,34,40,29,28,50
De Ruyter,6,2,6,5,1,4,3
New York,1974,1819,1873,2128,1607,1968,1791
Wales,10,9,7,17,12,13,9
Warwick,67,71,84,91,69,75,65
Westport,6,9,7,9,4,1,7
Seneca,15,9,11,8,6,16,10
Moravia,11,10,8,11,4,8,5
--Select Value--,562,482,479,620,452,460,500
Malta,60,52,41,75,33,50,54
Rosendale,33,15,23,23,20,21,18
Buffalo,728,651,728,818,550,749,638
Carrollton,7,3,10,5,5,2,3
Onondaga,56,53,61,62,56,64,81
Mamakating,31,53,24,40,30,27,40
Lysander,50,28,33,44,22,33,36
Southampton,195,193,211,256,166,202,197
Chazy,10,11,12,7,12,13,4
Upper Brookville,10,8,7,3,5,5,6
Babylon,643,537,554,636,402,532,545
Poughkeepsie,231,160,179,237,126,218,201
West Seneca,144,107,147,123,96,117,119
Rochester,730,644,704,934,541,774,639
Springville,6,5,8,15,6,4,11
Massapequa Park,40,21,29,50,35,30,26
Hempstead,2306,1863,2061,2232,1430,2091,1997
Oyster Bay,1001,695,1024,993,486,952,930
Riverside,6,2,4,5,5,4,7
Taghkanic,12,9,8,5,10,7,10
Syracuse,466,409,413,562,303,507,487
North Hempstead,542,401,495,530,260,513,469
Huntington,650,594,669,779,411,675,612
Esopus,37,34,32,26,23,32,27
Russell,5,7,,8,7,4,4
Kirkland,26,17,26,21,14,33,27
German,,2,1,,,1,1
Sand Lake,22,19,23,19,12,15,17
Wayland,17,15,10,18,12,19,16
Endicott,28,23,49,36,16,44,36
Gorham,18,20,11,10,8,11,12
Brookhaven,1279,1109,1176,1299,933,1171,1210
Malone,42,42,38,52,28,35,42
Old Brookville,17,8,8,23,4,14,9
Oswego,70,68,59,110,44,82,58
Farmingdale,50,34,49,44,19,35,25
Lake Grove,38,33,25,41,22,29,31
Colonie,302,223,327,382,153,326,268
New Bremen,7,3,9,6,2,8,8
Amherst,391,307,394,432,172,419,338
Victor,63,85,68,82,66,66,66
Lloyd,51,49,35,51,41,48,40
Orangetown,107,71,108,133,74,105,98
Utica,148,141,142,190,93,171,174
Garden City,136,75,144,163,52,151,121
Alexander,13,14,16,13,10,8,13
Mayfield,15,15,12,21,15,22,19
Pamelia,19,23,10,14,20,22,19
Richmond,702,630,714,786,513,694,678
Wawarsing,48,33,41,42,30,19,30
Putnam Valley,48,50,43,61,50,40,48
Lynbrook,82,58,81,95,48,90,75
Clarence,74,68,70,92,40,84,62
Carmel,90,92,83,92,79,82,70
Sleepy Hollow,21,19,10,12,14,15,14
Napoli,1,3,5,3,3,4,2
Schenectady,215,173,178,232,131,244,163
Watertown,124,110,101,144,73,113,98
Stockholm,20,19,11,19,10,18,13
Greenville,39,31,34,45,31,38,51
Hastings,18,8,22,18,19,16,17
Kingsbury,17,17,14,15,12,19,21
Ossining,17,23,21,20,17,29,26
Upper Nyack,3,6,4,5,2,4,4
Valley Stream,105,124,101,135,85,97,100
Haverstraw,57,43,49,64,42,60,55
Amsterdam,81,64,68,97,55,78,67
Chenango,63,31,30,48,22,38,48
