id,Unknown,Dry,Wet,Snow_Ice,Slush,Other,Flooded_Water,Muddy
Queens,3110,14528,2694,367,46,12,7,10
Bronx,1595,7819,1393,244,36,7,13,2
Kings,2665,14973,2707,310,46,16,7,8
Wheatland,9,92,18,14,1,,,1
Scott,,13,3,6,,,,
Herkimer,10,97,29,24,1,,,
Stafford,7,80,34,20,2,,,
Bethany,2,45,12,11,1,,,
La Grange,22,304,99,40,1,,,
Tuxedo,6,164,54,35,,1,,
De Ruyter,1,13,4,9,,,,
New York,1668,9486,1784,165,44,11,2,
Wales,10,39,7,20,1,,,
Warwick,24,389,68,38,2,1,,
Westport,1,20,8,13,1,,,
Seneca,,51,13,8,2,,,1
Moravia,5,36,5,10,,,,1
--Select Value--,853,2019,399,251,16,10,2,5
Malta,8,238,71,45,2,1,,
Rosendale,8,101,17,26,,1,,
Buffalo,453,3029,872,457,46,1,2,2
Carrollton,1,12,7,15,,,,
Onondaga,16,252,99,61,4,1,,
Mamakating,5,141,35,64,,,,
Lysander,5,146,33,61,1,,,
Southampton,74,1054,203,81,5,3,,
Chazy,5,36,10,14,4,,,
Upper Brookville,1,31,8,2,2,,,
Babylon,189,2892,591,161,8,5,3,
Poughkeepsie,155,911,219,63,2,1,1,
West Seneca,57,520,178,88,6,2,1,1
Rochester,293,3097,953,567,44,6,4,2
Springville,9,27,10,9,,,,
Massapequa Park,8,172,39,11,1,,,
Hempstead,309,10993,2300,333,22,17,6,
Oyster Bay,119,4749,994,194,14,4,6,1
Riverside,1,20,9,3,,,,
Taghkanic,2,43,8,7,1,,,
Syracuse,202,1805,708,400,22,5,,5
North Hempstead,83,2509,514,94,6,3,1,
Huntington,195,3280,708,179,18,3,4,3
Esopus,10,151,27,23,,,,
Russell,2,21,5,5,1,,,1
Kirkland,4,94,32,30,3,,1,
German,1,3,,1,,,,
Sand Lake,4,71,30,22,,,,
Wayland,5,55,11,33,3,,,
Endicott,21,159,35,13,3,,1,
Gorham,4,62,12,12,,,,
Brookhaven,430,6120,1236,349,19,11,8,4
Malone,14,147,45,67,5,,,1
Old Brookville,1,60,18,4,,,,
Oswego,34,283,98,69,6,1,,
Farmingdale,8,207,34,4,1,1,1,
Lake Grove,11,166,36,6,,,,
Colonie,112,1360,355,146,7,1,,
New Bremen,5,17,10,9,2,,,
Amherst,197,1549,473,220,14,,,
Victor,22,339,83,41,9,1,1,
Lloyd,3,244,45,20,1,2,,
Orangetown,26,521,111,36,1,1,,
Utica,41,588,234,178,17,1,,
Garden City,43,619,158,20,1,1,,
Alexander,3,49,13,19,2,,,1
Mayfield,1,82,14,20,2,,,
Pamelia,4,80,18,25,,,,
Richmond,623,3263,670,144,9,4,3,1
Wawarsing,8,167,34,31,2,1,,
Putnam Valley,9,217,57,55,2,,,
Lynbrook,11,420,88,6,2,2,,
Clarence,50,299,89,47,2,2,,1
Carmel,36,398,100,47,1,6,,
Sleepy Hollow,15,70,17,2,1,,,
Napoli,,11,4,4,2,,,
Schenectady,67,938,203,120,7,1,,
Watertown,42,462,151,91,16,1,,
Stockholm,4,55,24,24,3,,,
Greenville,21,186,30,30,2,,,
Hastings,5,56,24,32,1,,,
Kingsbury,4,81,16,13,1,,,
Ossining,38,76,30,8,1,,,
Upper Nyack,2,19,3,4,,,,
Valley Stream,27,582,122,15,1,,,
Haverstraw,8,283,55,22,1,1,,
