id,Unknown,Straight_and_Level,Straight_and_Grade,Straight_at_Hill_Crest,Curve_and_Level,Curve_and_Grade,Curve_at_Hill_Crest
Queens,3145,15671,885,241,506,274,52
Bronx,1626,7585,901,415,301,192,89
Kings,2709,16749,656,147,263,169,39
Wheatland,11,98,13,2,6,3,2
Scott,,9,3,,5,5,
Herkimer,10,111,25,,7,7,1
Stafford,7,94,30,4,5,2,1
Bethany,2,29,31,2,1,5,1
La Grange,22,234,80,12,54,58,6
Tuxedo,7,150,22,3,42,31,5
De Ruyter,1,15,4,,4,3,
New York,1665,10408,549,145,209,151,33
Wales,12,31,15,4,5,9,1
Warwick,23,283,87,5,41,73,10
Westport,1,18,15,,2,6,1
Seneca,1,37,13,3,11,9,1
Moravia,6,28,9,1,2,11,
--Select Value--,894,2002,264,42,185,157,11
Malta,8,196,46,3,89,20,3
Rosendale,8,85,30,3,6,19,2
Buffalo,460,3817,194,33,198,139,21
Carrollton,1,25,,,5,4,
Onondaga,18,189,140,11,27,42,6
Mamakating,8,71,76,4,18,66,2
Lysander,5,171,42,5,12,11,
Southampton,78,961,100,20,185,64,12
Chazy,5,43,9,1,9,2,
Upper Brookville,1,34,2,,4,3,
Babylon,190,3289,68,37,207,54,4
Poughkeepsie,157,801,238,20,68,65,3
West Seneca,59,565,81,16,78,50,4
Rochester,278,3934,348,32,204,158,12
Springville,10,42,2,,,1,
Massapequa Park,9,211,3,1,5,2,
Hempstead,305,11730,387,108,1085,310,55
Oyster Bay,121,5161,296,58,306,117,22
Riverside,,22,3,,5,2,1
Taghkanic,2,24,20,2,2,11,
Syracuse,210,2120,521,40,141,105,10
North Hempstead,82,2482,366,41,121,103,15
Huntington,202,3145,355,77,299,269,43
Esopus,10,100,47,4,14,31,5
Russell,2,9,8,3,6,7,
Kirkland,5,108,25,,13,12,1
German,1,1,,,1,2,
Sand Lake,4,45,26,2,15,31,4
Wayland,6,48,21,3,13,16,
Endicott,19,157,39,2,7,7,1
Gorham,4,49,18,3,5,11,
Brookhaven,433,6406,507,118,459,212,42
Malone,17,178,60,3,7,13,1
Old Brookville,,75,1,,7,,
Oswego,30,299,129,15,13,4,1
Farmingdale,7,238,4,,6,1,
Lake Grove,11,187,13,1,4,3,
Colonie,114,1336,279,25,122,101,4
New Bremen,5,19,8,1,7,3,
Amherst,204,1904,132,18,127,61,7
Victor,22,281,120,11,25,34,3
Lloyd,2,198,46,6,23,37,3
Orangetown,24,439,138,11,46,37,1
Utica,40,812,83,17,45,55,7
